Date,Open,High,Low,Close,Volume,Company
12/28/2023,215,215,215,215,500,KAPC
12/20/2023,215,215,215,215,500,KAPC
12/18/2023,215,215,215,215,"2,100",KAPC
12/13/2023,225,225,215,223,500,KAPC
12/11/2023,229,229,229,229,100,KAPC
12/08/2023,230,235,230,232.5,600,KAPC
12/07/2023,237.5,239,237.5,239,"2,500",KAPC
12/06/2023,239.25,239.25,239.25,239.25,100,KAPC
12/05/2023,235,240,235,237.5,400,KAPC
12/04/2023,239.25,239.25,239.25,239.25,800,KAPC
11/30/2023,239.25,239.25,239.25,239.25,100,KAPC
11/28/2023,239.25,239.5,239.25,239.25,600,KAPC
11/27/2023,239.25,239.25,239.25,239.25,300,KAPC
11/24/2023,240,240,240,240,"1,000",KAPC
11/21/2023,249,249,215,219.25,800,KAPC
11/20/2023,235,239,235,238.75,"1,500",KAPC
11/17/2023,219,239,219,228.5,"1,800",KAPC
11/16/2023,219,219,219,219,900,KAPC
11/09/2023,219,219,219,219,200,KAPC
11/08/2023,220,220,220,220,"27,700",KAPC
11/01/2023,220,220,220,220,400,KAPC
10/30/2023,210,215,210,211.75,300,KAPC
10/27/2023,215,215,215,215,200,KAPC
10/26/2023,210,210,210,210,200,KAPC
10/25/2023,210,210,210,210,100,KAPC
10/24/2023,210,210,210,210,"4,000",KAPC
10/23/2023,214,215,214,214.5,200,KAPC
10/19/2023,214,214,214,214,"4,000",KAPC
10/18/2023,210,210,210,210,100,KAPC
10/17/2023,214,214,214,214,100,KAPC
10/16/2023,210,215,210,213.25,300,KAPC
10/13/2023,210,210,210,210,100,KAPC
10/12/2023,210,210,210,210,"1,900",KAPC
10/11/2023,210,210,210,210,200,KAPC
10/09/2023,210,210,210,210,"1,500",KAPC
10/06/2023,204,204,204,204,800,KAPC
10/05/2023,210,210,210,210,200,KAPC
10/03/2023,196,199.5,181,193,"1,000",KAPC
10/02/2023,195,195,195,195,100,KAPC
09/28/2023,200,200,200,200,100,KAPC
09/27/2023,190,190,190,190,500,KAPC
09/26/2023,196,196,196,196,400,KAPC
09/25/2023,196,196,196,196,100,KAPC
09/19/2023,177,196,177,186.5,200,KAPC
09/18/2023,188,188,188,188,100,KAPC
09/12/2023,196,196,196,196,400,KAPC
09/11/2023,196,196,195,195.75,300,KAPC
09/08/2023,197.25,204,197.25,199.25,500,KAPC
09/07/2023,197.5,197.5,197.5,197.5,100,KAPC
08/31/2023,204,204,185,197.25,300,KAPC
08/28/2023,205,205,205,205,100,KAPC
08/24/2023,211,211.5,211,211.25,300,KAPC
08/23/2023,227,230,222,225.75,900,KAPC
08/22/2023,237.75,237.75,236.5,237.75,"1,100",KAPC
08/21/2023,230,230,225,226.75,300,KAPC
08/18/2023,225,235,225,232.75,"1,400",KAPC
08/17/2023,225,225,225,225,700,KAPC
08/16/2023,238.75,238.75,230,231.75,500,KAPC
08/15/2023,238.75,238.75,238.75,238.75,500,KAPC
08/14/2023,239,239,235,236.25,"1,600",KAPC
08/11/2023,239,239,236,237,300,KAPC
08/10/2023,236,239,236,237.25,"1,600",KAPC
08/09/2023,230,241,230,235.5,200,KAPC
08/08/2023,224,225,224,224.75,"3,600",KAPC
08/07/2023,220,220,215,219.5,"5,300",KAPC
08/04/2023,220,220,215,219.75,"1,500",KAPC
08/03/2023,222,222,220,221,"1,100",KAPC
08/02/2023,210,210,210,210,300,KAPC
08/01/2023,210,210,210,210,700,KAPC
07/31/2023,210,210,210,210,800,KAPC
07/28/2023,210,210,210,210,200,KAPC
07/27/2023,205,205,205,205,100,KAPC
07/25/2023,205,205,205,205,100,KAPC
07/19/2023,220,224.5,220,222.25,200,KAPC
07/17/2023,220,220,220,220,400,KAPC
07/14/2023,220,220,220,220,600,KAPC
07/13/2023,225,225,225,225,500,KAPC
07/11/2023,225,225,225,225,200,KAPC
07/10/2023,215,220,215,218,500,KAPC
07/07/2023,219,220,215,217.25,800,KAPC
07/06/2023,220,220,200,210,400,KAPC
07/05/2023,205,210,200,206.5,"4,700",KAPC
07/04/2023,209,209,200,205,900,KAPC
07/03/2023,188.5,198,188.5,191.75,"4,200",KAPC
06/30/2023,175.25,190,175.25,188.25,"1,400",KAPC
06/29/2023,172.75,173,172.75,173,"1,000",KAPC
06/27/2023,157,157,157,157,100,KAPC
06/23/2023,155,155,150,153,"1,000",KAPC
06/22/2023,155,155,155,155,100,KAPC
06/21/2023,154.5,155,154.5,155,"1,100",KAPC
06/19/2023,145,145,145,145,600,KAPC
06/15/2023,141,141,141,141,100,KAPC
06/13/2023,145,145,145,145,100,KAPC
06/12/2023,142,142,142,142,200,KAPC
06/08/2023,141,141,141,141,600,KAPC
06/07/2023,130,138,130,133,"1,600",KAPC
06/06/2023,132,141,132,138,300,KAPC
05/30/2023,132,132,132,132,400,KAPC
05/26/2023,125,130,125,128.75,400,KAPC
05/17/2023,130,130,130,130,"1,100",KAPC
05/12/2023,130,130,130,130,500,KAPC
05/11/2023,130,130,130,130,100,KAPC
05/10/2023,127,127,126,126,"1,200",KAPC
05/09/2023,126,126,126,126,300,KAPC
05/08/2023,126,126,126,126,400,KAPC
05/04/2023,126,126,126,126,800,KAPC
04/28/2023,125.75,125.75,125.75,125.75,100,KAPC
04/27/2023,130,130,125,125.75,600,KAPC
04/24/2023,126,126,120,123,200,KAPC
04/14/2023,120,130,120,127.75,600,KAPC
04/13/2023,120,120,120,120,100,KAPC
04/11/2023,115,115,115,115,100,KAPC
04/03/2023,115,115,115,115,"1,300",KAPC
03/31/2023,117.25,117.25,117,117,"1,000",KAPC
03/28/2023,130,130,130,130,100,KAPC
03/27/2023,130,130,130,130,500,KAPC
03/20/2023,130,130,130,130,"1,000",KAPC
03/15/2023,130,130,130,130,400,KAPC
03/13/2023,132,132,132,132,400,KAPC
03/10/2023,132,132,132,132,200,KAPC
03/07/2023,132,132,132,132,100,KAPC
02/27/2023,130,130,130,130,100,KAPC
02/24/2023,137,137,137,137,100,KAPC
02/21/2023,137,137,137,137,300,KAPC
02/20/2023,135,135,135,135,"1,000",KAPC
02/15/2023,126,126,126,126,100,KAPC
02/10/2023,125,125,125,125,400,KAPC
02/08/2023,125,125,125,125,"1,000",KAPC
02/07/2023,128,128,128,128,100,KAPC
02/06/2023,122,122,122,122,"1,200",KAPC
02/02/2023,120,125,120,122,800,KAPC
02/01/2023,120,120,120,120,100,KAPC
01/31/2023,120,120,120,120,200,KAPC
01/30/2023,120,120,120,120,100,KAPC
01/27/2023,110,110,110,110,100,KAPC
01/24/2023,100,100,100,100,100,KAPC
01/23/2023,109,109,109,109,800,KAPC
01/13/2023,109,109,109,109,"2,600",KAPC
01/12/2023,104.25,113,104.25,108.75,200,KAPC
01/05/2023,104.25,104.25,104.25,104.25,700,KAPC
01/03/2023,115.75,115.75,115.75,115.75,100,KAPC
12/30/2022,113.25,113.25,113.25,113.25,100,KAPC
12/23/2022,103,103,103,103,800,KAPC
12/22/2022,102,102,102,102,200,KAPC
12/21/2022,102,102,102,102,200,KAPC
12/20/2022,102,102,101,102,"1,900",KAPC
12/19/2022,110,110.25,100,102.75,"1,500",KAPC
12/07/2022,109,110,109,110,"2,500",KAPC
11/21/2022,105,105,105,105,100,KAPC
11/18/2022,105,105,105,105,"4,400",KAPC
11/17/2022,105,105,105,105,100,KAPC
11/14/2022,115,115,115,115,400,KAPC
11/10/2022,115,115,115,115,100,KAPC
11/07/2022,115,115,115,115,200,KAPC
11/02/2022,115,115,115,115,300,KAPC
10/31/2022,115,115,115,115,300,KAPC
10/28/2022,108,108,108,108,"1,100",KAPC
10/25/2022,107,107,107,107,100,KAPC
10/21/2022,105,105,105,105,"3,000",KAPC
10/17/2022,107,107,107,107,300,KAPC
10/11/2022,119,121,112,117.75,"1,400",KAPC
10/05/2022,119,119,119,119,200,KAPC
10/04/2022,124,124,120,120.5,"1,000",KAPC
10/03/2022,124,124,120,121,400,KAPC
09/30/2022,120,120,120,120,200,KAPC
09/29/2022,120,120,120,120,400,KAPC
09/28/2022,120,120,120,120,200,KAPC
09/27/2022,119,119,119,119,200,KAPC
09/26/2022,124,124,124,124,400,KAPC
09/23/2022,113,113,113,113,100,KAPC
09/20/2022,115.75,115.75,100,103.5,"1,300",KAPC
09/16/2022,105.5,105.5,105.5,105.5,100,KAPC
09/15/2022,102.25,110,100.25,105.75,400,KAPC
09/09/2022,102.25,102.25,102.25,102.25,"10,000",KAPC
09/08/2022,102.5,102.5,102.5,102.5,"10,000",KAPC
09/07/2022,110,110,102.25,102.25,"10,100",KAPC
09/05/2022,100,108,99,101.75,400,KAPC
09/01/2022,110,110,108,109,200,KAPC
08/31/2022,110,110,110,110,100,KAPC
08/30/2022,100,110,100,105,200,KAPC
08/29/2022,100,100,100,100,600,KAPC
08/26/2022,100,100,95.25,95.25,"10,100",KAPC
08/24/2022,100,100,100,100,800,KAPC
08/23/2022,100,100,100,100,200,KAPC
08/22/2022,100,100,100,100,"1,200",KAPC
08/18/2022,100,100,100,100,100,KAPC
08/17/2022,91,91,91,91,100,KAPC
08/16/2022,102,102,100.25,100.5,"12,500",KAPC
08/15/2022,102,102.25,102,102.25,"10,800",KAPC
08/12/2022,104,104,100.75,100.75,"10,200",KAPC
08/04/2022,100.25,100.25,100.25,100.25,"14,000",KAPC
08/03/2022,107,107,100,106.25,"1,100",KAPC
08/02/2022,100.25,100.25,100.25,100.25,"5,200",KAPC
08/01/2022,107,107,107,107,200,KAPC
07/29/2022,108,109,108,108,900,KAPC
07/28/2022,108,108,108,108,"1,800",KAPC
07/27/2022,108,108,108,108,100,KAPC
07/22/2022,108,108,106,107,200,KAPC
07/21/2022,105.25,105.25,105.25,105.25,100,KAPC
